"ID","PID","Title","Keywords"
"hhhr7/8-3g","hhhr7/8-3","verstehen und dass die Winkelsumme im Dreieck 180° beträgt","understand180IsSumOfAnglesOfTriangle"
"hhhr7/8-3h","hhhr7/8-3","die Winkelsumme im Dreieck verwenden","Use_theorem_about_the_sum_of_the_angles_in_triangle"
"hhhr7/8-3i","hhhr7/8-3","ein gleichseitiges Dreieck konstruieren","Construct_equilateral_triangle"
"hhhr7/8-3j","hhhr7/8-3","ein rechtwinkliges Dreieck konstruieren","Construct_RightAngledTriangle"
"hhhr7/8-3k","hhhr7/8-3","die Definition für einen Kreis kennen","Know_equidistant_circle_points"
"hhhr7/8-3l","hhhr7/8-3","wissen und was die Kreislinie (Kreisumfang) ist","Know_circumference"
"hhhr7/8-3m","hhhr7/8-3","wissen und was Kreislinie und Kreisfläche und Mittelpunkt und Radius und Durchmesser und Tangente sind",""
"hhhr7/8-4","hhhr7/8","7/8-4 Daten und Zahlen: Statistische Erhebungen",""
"hhhr7/8-4a","hhhr7/8-4","Daten","Data"
"hhhr7/8-4b","hhhr7/8-4","Daten sammeln","Data_collect"
"hhhr7/8-4c","hhhr7/8-4","graphische Darstellung von Daten","Graphical_display_of_data"
"hhhr7/8-4d","hhhr7/8-4","Taschenrechner","Calculator"
"hhhr7/8-4e","hhhr7/8-4","Daten sammeln","Collect_data"
"hhhr7/8-4f","hhhr7/8-4","Daten ablesen","Read_data"
"hhhr7/8-4g","hhhr7/8-4","Daten in einer Tabelle darstellen","Represent_data_in_a_table"
"hhhr7/8-4h","hhhr7/8-4","Daten in einem Diagramm darstellen","Represent_data_in_a_diagram"
"hhhr7/8-4i","hhhr7/8-4","Daten (graphisch) darstellen","Represent_data"
"hhhr7/8-4j","hhhr7/8-4","Daten analysieren","Analyze_data"
"hhhr7/8-4k","hhhr7/8-4","Die Ergebnise einer Datenanalyse interpretieren","Interpret_results_of_data_analysis"
"hhhr7/8-4l","hhhr7/8-4","Taschenrechner benutzen","Use_calculators"
