"ID","PID","Title","keywords"
"BSek1Kl10","BSek1","Klasse 10",""
"BSek1Kl10Z","BSek1Kl10","Leitidee 'Zahl'",""
"B10ZEinfach","BSek1Kl10Z","Einfacher Standard",""
"B10ZEinfachRZ","B10ZEinfach","Reelle Zahlen","Real_number"
"B10ZEinfachKo","B10ZEinfach","Kopfrechnen","Calculate_product_or_quotient_mentally; Calculate_mentally; Predict_results_using_mental_calculation; Calculate_mentally_the_number_to_add_for_finding_a_given_result; Calculate_mentally_double_half_triple_third_of_natural_and_decimal_numbers; Calculate_mentally_quotient_and_remainder_of_division_in_simple_cases; Calculate_mentally_the_number_to_subtract_for_finding_a_given_result; Calculate_mentally_the_number_to_multiply_for_finding_a_given_result; "
"B10ZEinfachSR","B10ZEinfach","Sinnvoll Runden","Estimate_by_rouding_to_one_significant_figure"
"B10ZEinfachTV","B10ZEinfach","Taschenrechner verwenden","Calculator; Know_how_calculators_use_precedence; Use_calculators; Calculate_square_root_of_positive_number_with_calculator; Solve_numerical_problems_with_numbers_of_any_size_using_calculator_appropriately; "
"B10ZEinfachDez","B10ZEinfach","Dezimaldarstellung und Potenzschreibweise","Decimal_number; Exponentiation; "
"B10ZEinfachP","B10ZEinfach","Prozente und Zinsen und Zinseszins","Apply_percentage; Use_percentage;"
"B10ZMittel","BSek1Kl10Z","Mittlerer Standard",""
"B10ZMittelIZ","B10ZMittel","Irrationale Zahlen","Irrational_Number;  Understand_rational_and_irrational_numbers; Calculate_with_irrational_numbers;"
"B10ZMittelRZ","B10ZMittel","Reelle Zahlen","Real_number"
"B10ZMittelKoo","B10ZMittel","Kopfrechnen","Calculate_product_or_quotient_mentally; Calculate_mentally; Predict_results_using_mental_calculation; Calculate_mentally_the_number_to_add_for_finding_a_given_result; Calculate_mentally_double_half_triple_third_of_natural_and_decimal_numbers; Calculate_mentally_quotient_and_remainder_of_division_in_simple_cases; Calculate_mentally_the_number_to_subtract_for_finding_a_given_result; Calculate_mentally_the_number_to_multiply_for_finding_a_given_result; "
"B10ZMittelSr","B10ZMittel","Sinnvoll Runden","Estimate_by_rouding_to_one_significant_figure"
"B10ZMittelTa","B10ZMittel","Taschenrechner verwenden","Calculator; Know_how_calculators_use_precedence; Use_calculators; Calculate_square_root_of_positive_number_with_calculator; Solve_numerical_problems_with_numbers_of_any_size_using_calculator_appropriately; "
"B10ZMittelDez","B10ZMittel","Dezimaldarstellung und Potenzschreibweise","Decimal_number; Exponentiation; "
"B10ZMittelPZZ","B10ZMittel","Prozente und Zinsen und Zinseszins","Apply_percentage; Use_percentage;"
"B10ZMittelVG","B10ZMittel","Variablen und Gleichungen","Use_expressions_with_letters; Equations; Solve_problems_using_linear_equation; Manipulate_equations;"
"B10ZErweitert","BSek1Kl10Z","Erweiterter Standard",""
"B10ZErweitertIz","B10ZErweitert","Irrationale Zahlen","Irrational_Number;  Understand_rational_and_irrational_numbers; Calculate_with_irrational_numbers;"
"B10ZErweitertRZ","B10ZErweitert","Reelle Zahlen","Real_number"
