"ID","PID","Title","Keywords"
"chhgymk91.7","chhgymk9","Stochastik","Interpret_median_of_statistical_series; Estimate_range_of_data_set; Interpret_range_of_statistical_series; Organize_data_in_frequency_table"
"chhgymk101.1","chhgymk10","Funktionen 1","Calculate_with_powers_roots_numbers_in_standard_form; Power; Exponentiation; "
"chhgymk101.2","chhgymk10","Funktionen 2","Real_world_problem; Sketch_graph_of_linear_quadratic_cubic_and_reciprocal_functions; Logarithmic_function; Exponential_function; Table_of_values"
"chhgymk101.3","chhgymk10","Geometrie","Interpret_a_plane_representation_of_a_cube; "
"chhgymk101.4","chhgymk10","Geometrie/ Funktionen","Cosine; Sine; Tangent_of_angle; "
"chhgymk101.5","chhgymk10","Stochastik","Common_frequency; Calculate_relative_frequency"
"chhgymk111.1","chhgymk11","Analysis I","Domain_and_range; Mean_variation_ratio_of_a_function_in_an_interval; Maxima_and_minima"
"chhgymk121.1","chhgymk12","Analysis II","Bound; Lower_bound; Upper_bound"
"chhgymk121.2","chhgymk12","Lineare Algebra / Analytische Geometrie","Vector; Basic_planar_geometry_topics; Plane_section; Collinear_vectors; Solve_system_of_two_linear_equations_with_two_unknowns; System_with_two_equations_and_two_unkonwns; Linear_equations_system"
"chhgymk131.1","chhgymk13","Stochastik","Common_frequency; Absolute_frequency; Cumulative_frequency"
"chhgymk131.2","chhgymk13","Wahlbereiche",""
"chhreak5","chhrea","Klasse 5",""
"chhreak6","chhrea","Klasse 6",""
"chhreak7","chhrea","Klasse 7",""
"chhreak8","chhrea","Klasse 8",""
"chhreak9","chhrea","Klasse 9",""
"chhreak10","chhrea","Klasse 10",""
"chhreak51.1","chhreak5","Natürliche Zahlen und Größen","Natural_number; Know_place_value_of_digits_in_the_writing_of_natural_or_decimal_number; Addition; Multiplication; Subtraction; Division; Use_units_in_calculations_of_magnitudes; Word_problem; magnitudes_and_measurements"
"chhreak51.2","chhreak5","Geometrische Grundbegriffe und Grundformen sowie Berechnungen an","Point; Straight_Line; Segment; Parallel; Orthogonal; Distance; Coordinates_of_a_point; Point_in_coordinate_system; Construct_square; Construct_rectangle; Reflection_in_a_line; Understand_formula_of_area_of_rectangle; Represent_sphere_and_great_circles; Set_square; Estimate; "
"chhreak61.1","chhreak6","Gewönhliche Brüche","Know_divisibility_criteria_by_2_5_10; Use_divisibility_criteria_by_2_5_10; Use_divisibility_criteria_by_3_4_9; Know_divisibility_criteria_by_3_4_9; Compare_two_numbers_given_as_fractions; Interpret_fraction_a_over_b_as_quotient_of_a_by_b; Fraction; Calculate_division_of_fractions; Calculate_product_of_two_positive_fractions; Calculate_subtraction_of_fractions; Justify_procedure_for_calculating_product_of_fractions; Calculate_on_fractions; Know_that_every_decimal_number_can_be_written_as_quotient; Interpret_fraction_a_over_b_as_quotient_of_a_by_b"
"chhreak61.2","chhreak6","Umgang mit Winkeln und Berechnungen an räumlichen Körpern","Angle_fig; Construct_triangle_with_given_SAS; Construct_triangle_with_given_ASA; ToMeasure_with_protractor_an_angle; Inscribed_angle; Right_angle; AcuteAngle; ObtuseAngle; Protractor; Cylinder; Know_volume_of_cube; Pyramid; Cone; "
"chhreak61.3","chhreak6","Dezimalbrüche","Know_that_every_decimal_number_can_be_written_as_quotient; Understand_equivalence_between_fractions_decimals_percentages; Use_all_four_operations_with_decimal_to_two_places; use_mean_to_solve_problems; "
"chhreak71.1","chhreak7","Zuordnungen","Calculator; Understand_inverse_proportion; Interpret_information_from_data_display; "
"chhreak71.2","chhreak7","Ganze und rationale Zahlen","ToOrder_negative_numbers_in_context; Rational_Number; Use_coordinates; Translation"
"chhreak71.3","chhreak7","Dreieckskonstruktionen","CorrespondingAngle; Isosceles_Triangle; Equilateral-Triangle; Height; Know_height_definition; Understand_congruence; Use_congruence; Congruent_triangles; Angle_Bisector; Use_definition_of_median_in_triangle; Perpendicular_Bisector; Know_Thales_Circle_theorem; Dynamic_interactive_geometry_environments"
"chhreak71.4","chhreak7","Einfache Prozentrechnung und beschreibende Statistik","Understand_equivalence_between_fractions_decimals_percentages; Use_percentage_in_simple_cases; Describe_proportions_by_simple_fractions_or_percentages; Percentage; Absolute_frequency; Relative_frequency; Interpret_diagrams; Analyze_charts"
"chhreak71.5","chhreak7","Terme mit Variablen und einfache lineare Gleichungen","Use_binomial_identity_to_transform_algebraic_expression; Use_expressions_with_letters; Manipulate_equations; Solve_linear_equation_with_whole_number_coefficients; "
"chhreak81.1","chhreak8","Lineare Gleichungen / Ungleichungen","Use_brackets; Use_binomial_identities_in_solving_equation; Expand_a_product_of_a_sum_by_a_number; Factor_sum_of_products"
"chhreak81.2","chhreak8","Konstruktion und Flächeninhaltsberechnungen von Vielecken","Axial_symmetric; Point_symmetric; Perimeter;Formula_for_area; Understand_formula_of_area_of_rectangle; Trapezoid"
"chhreak81.3","chhreak8","Wahrscheinlichkeitsrechnung","Probability; Probability_distribution; Tree_diagram; "
"chhreak81.4","chhreak8","Prozentrechnung und Zinsrechnung","Calculate_a_percentage und "
"chhreak81.5","chhreak8","Darstellung und Berechnung von Prismen","Construct_net_of_a_solid; Prism"
